,title,creator,date,abstract,doi,publication,date_added,word_count
340,Public engagement and climate adaptation: insights from three local governments in Australia,,2015-01-01,"Public participation in decision making is a central component of the planning process; however, implementing effective engagement initiatives to resolve complex planning and policy problems, such as climate change, is challenging for planners. These challenges are particularly acute in coastal communities throughout Australia, where many settlements are at risk of future climate perturbations. Using the International Association for Public Participation framework for public participation, we analyse three local government led public participation initiatives in New South Wales, Victoria and Tasmania, Australia. Our analysis suggests there are three critical factors that can influence the level of public participation in the context of climate change adaptation: the technocratic approach to decision making; absent high order government support; and the lack of evaluation mechanisms for public participation.",,,,124.0
341,Not a panacea: private-sector engagement in adaptation and adaptation finance in developing countries,,2015-01-01,"The role of the private sector in climate finance is increasingly emphasized in international political debates. Knowledge of private engagement in mitigating climate change and in more advanced economies is growing, but the evidence base for private-sector engagement in climate change adaptation in developing countries remains weak. Starting from the premise that the private sector's role in adaptation is often inevitable and potentially significant, this article first analyses the potential of private-sector engagement in adaptation and adaptation financing in developing countries by conceptualizing the private sector's roles and motivation therein. For further inquiry, and for a discussion based on a developing-country context, interviews were conducted with key stakeholders for adaptation of Zambia's agricultural sector, including on ways in which the government can incentivize private-sector engagement in adaptation.How much private-sector adaptation and adaptation finance can be identified depends on the interpretation of the concept of adaptation. Under a broad interpretation, the domestic private sector in particular can contribute substantially to adaptation, both directly and indirectly, through its investments and activities. However, the international private sector's role in financing adaptation should be analysed under a strict interpretation of adaptation and appears limited.Policy relevanceInternational political debates increasingly stress the importance of private climate finance, yet are constrained by vagueness around the private sector's role in adaptation finance. This article conceptualizes and scrutinizes private-sector engagement in adaptation and adaptation finance in developing countries. It concludes that the domestic private sector in particular can contribute substantially to adaptation in direct and indirect ways, and that domestic policies incentivize such contributions. However, international private financing of adaptation is more limited and its analysis requires a stricter interpretation of adaptation. Private-sector engagement in adaptation and adaptation finance can supplement, but not substitute for, public investments in adaptation. These limitations are particularly important when discussing private adaptation finance as part of the developed countries' pledge to mobilize US$100 billion of climate finance per annum from 2020 onwards.",,,,319.0
342,Making climate change visible: A critical role for landscape professionals,,2015-01-01,"The central message of this essay is to make climate change more visible and meaningful to community members through landscape architectural techniques and building literacy. It identifies general principles for opening people's eyes to climate change, demonstrating the potentially powerful role that landscape can play in helping citizens to see and foresee climate change in their own backyards, where they care the most. In this context, the author emphasizes the value of local landscape & place-based experience, as well as the importance of designing visible solutions. The essay describes two linked frameworks that address respectively the possibility of seeing and recognizing climate change, and the need to consider not only climate change impacts but also its causes, mitigation and adaptation solutions. Landscape architects and landscape planners can play an integrative, educational & visionary role in creative design and engagement of communities on climate change. The essay offers four pathways for landscape professionals to integrate & enhance public engagement and literacy on climate change, through: applying landscape messaging to make climate change more visible on the ground; using compelling visual tools that reveal signs of climate change in local landscapes and depict resilient, low-carbon futures; local climate change visioning processes to help communities understand the implications for communities; and helping neighbours to self-educate and mobilize for local climate change action. Better training and a professionally endorsed code of ethics for visual media are needed to support this vital work. (C) 2015 Published by Elsevier B.V.",,,,244.0
343,Exploring Ecosystems and Health by Shifting to a Regional Focus: Perspectives from the Oceania EcoHealth Chapter,,2015-01-01,"This article highlights contributions that can be made to the public health field by incorporating ecosystem approaches to health to tackle future environmental and health challenges at a regional level. This qualitative research reviews attitudes and understandings of the relationship between public health and the environment and the priorities, aspirations and challenges of a newly established group (the Oceania EcoHealth Chapter) who are attempting to promote these principles. Ten semi-structured interviews with Oceania EcoHealth Chapter members highlighted the important role such groups can play in informing organisations working in the Oceania region to improve both public health and environmental outcomes simultaneously. Participants of this study emphasise the need to elevate Indigenous knowledge in Oceania and the role regional groups play in this regard. They also emphasis that regional advocacy and ecosystem approaches to health could bypass silos in knowledge and disciplinary divides, with groups like the Oceania EcoHealth Chapter acting as a mechanism for knowledge exchange, engagement, and action at a regional level with its ability to bridge the gap between environmental stewardship and public health.",,,,176.0
344,Climate-adaptive technological change in a small region: A resource-based scenario approach,,2015-01-01,"Society at large must find technological pathways capable of mitigating climate change. But small regions - where private and public sector decision makers take actions whose aggregated effects shape those broader pathways - are faced with the need to adapt to climate impacts over which they have little control. Such impacts already include not only direct climatological ones, but also related systemic shifts in technologies, markets, and policies. Firms and policymakers can widen the range of adaptation opportunities by exploring regional resources applicable to emergent clusters, through which technologically related inter-organizational dynamics may permit more effective climate responses. As in the resource-based view of the firm underlying cluster theory, key decision fields are chosen based on existing capabilities internal to the region in relation to the threats and opportunities transmitted by external climate change impacts. Adaptive strategy options at the regional level can be identified and assessed using a scenario-building methodology that incorporates the interactions among multiple variables and decision-makers' actions over time. Stakeholder input and engagement during the research process can facilitate realism and traction. This methodology is applied to northwestern Pennsylvania, on Lake Erie, projecting a scenario based on a set of complementary, lower-carbon energy and transportation technologies. (C) 2015 The Author. Published by Elsevier Inc.",,,,208.0
345,Resilience projects as experiments: implementing climate change resilience in Asian cities,,2015-01-01,"The capacity of actors and institutions to learn and reorganize is central to the resilience of complex systems, particularly in the context of rapidly urbanizing cities. A process of qualitative, reflective research among practitioners within the Asian Cities Climate Change Resilience Network (ACCCRN) showed that development projects and programmes can contribute meaningfully to this capacity when they introduce projects as experiments. While projects did provide desired tangible benefits to certain groups of actors, many of the most significant contributions to resilience were related to knowledge, networks, information, and greater engagement of citizens with the state. This emphasis on the capacity to learn and reorganize provides a counterpoint to ideas around implementation and mainstreaming normally promoted within climate change adaptation practice - and, importantly, can help enrich these practices to maximize their effectiveness. This paper focuses on international development projects in particular, although findings have implications for other types of adaptation and resilience initiatives supported by governments, private sector, or community-based organizations.",,,,161.0
346,Climate change and Aotearoa New Zealand,,2015-01-01,"With a population of 4.5 million, New Zealand's contribution to total global greenhouse gas (GHG) emissions is relatively low. On a per capita basis, however, New Zealand's GHG emissions are the fifth highest among Annex 1 countries, due in part to the relative size of the pastoral agricultural sector. Biophysical impacts of climate change will largely extend current climate trends, with high regional variability. A review of climate change literature identifies three key risks for New Zealand relating to economic connectedness, perceptions of clean, green' New Zealand, and social equity. Since 2008, New Zealand's main mitigation response has been the emissions trading scheme (NZ ETS), yet the ETS is currently providing little by way of meaningful incentives for behavior change and low-carbon investment. Moreover, since declining to enter the second commitment period of the Kyoto protocol, engagement with global climate governance has been modest, and recently released emissions reduction targets have raised questions over New Zealand's responsibilities as a global citizen. In this paper, adaptive responses are considered in connection to key industries (agriculture, tourism) and communities (coastal, Mori), and examine the devolved structure of adaptation. Mainstream media reporting of climate change in New Zealand appears to be aligned with the scientific consensus position, yet it continues to frame climate change as a political issue, prioritizing political over scientific voices. Public perceptions of climate change provide evidence of continued uncertainty relating to human attribution, and depict climate change as a spatially distanced risk which could affect support for government action on climate change. (C) 2015 Wiley Periodicals, Inc.",,,,258.0
347,"Improving Public Engagement With Climate Change: Five ""Best Practice"" Insights From Psychological Science",,2015-01-01,"Despite being one of the most important societal challenges of the 21st century, public engagement with climate change currently remains low in the United States. Mounting evidence from across the behavioral sciences has found that most people regard climate change as a nonurgent and psychologically distant riskspatially, temporally, and sociallywhich has led to deferred public decision making about mitigation and adaptation responses. In this article, we advance five simple but important best practice insights from psychological science that can help governments improve public policymaking about climate change. Particularly, instead of a future, distant, global, nonpersonal, and analytical risk that is often framed as an overt loss for society, we argue that policymakers should (a) emphasize climate change as a present, local, and personal risk; (b) facilitate more affective and experiential engagement; (c) leverage relevant social group norms; (d) frame policy solutions in terms of what can be gained from immediate action; and (e) appeal to intrinsically valued long-term environmental goals and outcomes. With practical examples we illustrate how these key psychological principles can be applied to support societal engagement and climate change policymaking.",,,,183.0
348,Community engagement on adaptation: Meeting a growing capacity need,,2015-01-01,"Climate change adaptation - to be politically feasible and socially acceptable - will not happen without broad public support. Yet, to date, the public has been barely engaged in finding effective solutions. Municipal and county staff, as well as community organizations that have taken the lead to date with climate planning, list building political and public support as one of the greatest barriers they face. As climate change impacts increase, and as adaptation measures move from the planning to the implementation stage, those affected by climate risks and adaptation strategies cannot be ignored. The community level is where climate change impacts manifest, where appropriate solutions are needed, and where synergies and trade-offs between mitigation and adaptation, and between climate and nonclimate-policy choices play out. It is in specific locales where people live with the consequences of adaptation choices, and where a sense of place can be a motivation or hindrance to action. Local adaptation experts face a growing need to build capacity in effective stakeholder engagement in responding to climate impacts yet opportunities for doing so have been limited to date. This critical gap must be filled and training programs rapidly brought to scale for adaptation efforts to advance successfully. (C) 2015 Elsevier B.V. All rights reserved.",,,,207.0
349,"Public participation, civic capacity, and climate change adaptation in cities",,2015-01-01,"Cities are increasingly involved in planning for climate change adaptation, although the extent and role of public participation in such efforts remains poorly theorized and understudied. This paper employs a case survey methodology to systematically review the recent literature on urban climate change adaptation with respect to public participation, stake-holder engagement, and civic capacity. Six forms of participation in urban adaptation are identified from the literature and the distinguishing characteristics and use of each type are examined across the cases. Few cases illustrate robust and sustained civic capacity in the governance of urban climate adaptation, although several cases reveal budding capacity that could emerge with further efforts to engage businesses and citizens in articulating priorities and strategies for future adaptation efforts. (C) 2015 Elsevier B.V. All rights reserved.",,,,128.0
350,"Preaching to different choirs: How to motivate dismissive, uncommitted, and alarmed audiences to adapt to climate change?",,2016-01-01,"People vary considerably in terms of their knowledge, beliefs, and concern about climate change. Thus, an important challenge for climate change communicators is how to most effectively engage different types of audiences. This study aimed to identify distinct audience segments that vary in terms of their values, beliefs, and responses to climate change and determine for each segment which specific message attributes increased motivation to engage in climate adaptation. A sample of 1031 Australian residents (aged 18-66 years) completed an online survey assessing their values, beliefs, and behaviors related to climate change, and recording their responses to a broad range of climate change adaptation messages. Latent profile analysis identified three distinct audience segments: alarmed (34.4%), uncommitted (45.2%), and dismissive (20.3%). Sixty climate change adaptation messages were coded in terms of the presence/absence of six attributes: explicit reference to climate change, providing specific adaptation advice, strong negative emotive content, emphasis on collective responsibility, highlighting local impacts, and underscoring financial impacts. Participants viewed a random sample of six messages and rated the extent to which each message motivated them to seek out more information and immediately respond to the climate change threat portrayed in the message. Multilevel modeling indicated messages that included strong negative emotive content or provided specific adaptation advice increased adaptation intentions in all three audience segments. Omitting any mention of climate change and emphasizing local impacts increased adaptation intentions in dismissive audiences. Implications for tailoring and targeting climate change adaptation messages are discussed. (C) 2015 Elsevier Ltd. All rights reserved.",,,,251.0
351,Fostering Resilience in the Face of an Uncertain Future: Using Scenario Planning to Communicate Climate Change Risks and Collaboratively Develop Adaptation Strategies,,2016-01-01,"Communicating about climate change is a serious challenge. There is an urgent need to develop effective processes at the local level to engage, inform, and support decision-makers in their efforts to plan for the impacts of climate change. This is particularly urgent in Alaska, where the impacts of climate change are already being felt. The Scenarios Network for Alaska and Arctic Planning (SNAP) at the University of Alaska Fairbanks has spent the past 7 years facilitating the use of scenarios for climate change planning. In this case study highlighting SNAP's collaboration with the National Park Service (NPS), we explore how the scenario planning process can be applied to support effective communication of climate risks. The scenario planning process is a promising approach for engaging diverse individuals in a dialogue that promotes a new way of thinking about uncertainty while facilitating the coproduction of knowledge.",,,,144.0
352,Quantifying Greenhouse Gas Emissions from Agricultural and Forest Landscapes for Policy Development and Verification,,2016-01-01,"The emergence of policies to reduce greenhouse gas (GHG) emissions motivated a rapid shift in ecosystem modeling, especially concerning agricultural and forest management effects on nitrous oxide (N2O) emissions and soil carbon (C). First, we review models for estimating GHG fluxes in agricultural and forest landscapes. Second, we investigate the interplay of models with institutions that develop and implement climate change policy. Limited GHG flux observations constrain our understanding of process controls, especially with respect to N2O flux. Even when simulation models explicitly include N2O flux, this capability is infrequently applied or validated. In the policy arena, tools used to estimate aboveground forest biomass C rely on robust inventory data. Such data are scarce outside of the industrialized world. Compared with biomass C, soil C storage in both forest and agricultural systems is difficult to quantify. Widely used estimates depend on critical assumptions such as the extent to which erosion contributes to C loss from fields and the mechanisms by which C is stabilized in soil, both of which are the subject of serious debate. As evidenced by at least one instance we explore, institutions dedicated to policy development and implementation can rapidly achieve a nuanced understanding of these limitations, given sufficient engagement of the research community. Our review illuminates challenges that affect land-based GHG mitigation initiatives as a result of current knowledge gaps, institutional capacity, and decision-making frameworks. We suggest key points that should be communicated to model users and raise questions that could be fruitfully addressed by model developers and consumers of modeled estimates.",,,,256.0
353,"Climate knowledge cultures: Stakeholder perspectives on change and adaptation in Nusa Tenggara Barat, Indonesia",,2016-01-01,"Effective climate adaptation requires engagement (awareness, motivation, and capacity to act) at relevant scales, from individuals to global institutions. In many parts of the world, research attention has focused on the engagement of the general public. We suggest that studies also need to focus on key stakeholders in the government and non-governmental sectors who participate in adaptation planning processes, so that a better understanding may be achieved of the distinct knowledge cultures that influence their engagement with climate change. Indonesia is a key actor in climate adaptation because of the potentially dire consequences for its population's livelihoods and well-being. In this paper we consider whether 'climate knowledge cultures' exist amongst stakeholders at multiple organisational levels in Nusa Tenggara Barat (NTB) Province, Eastern Indonesia. Surveys were conducted with 124 stakeholders from differing levels at the beginning of four multi-stakeholder climate adaptation workshops. Questions elicited perceptions of their region's challenges, observation and awareness of climate change, feelings they associated with climate change, beliefs regarding causes, risks and preparedness for climate change, and timeframes they associated with the future. Across all levels, climate change ranked highest as the first challenge participants identified, followed by food security, but well-being ranked highest when the top three challenges were combined. Most participants believed climate change was happening, but those working at higher organisational levels were more likely to attribute climate change to human factors whereas those at lower levels were more likely to think it was a natural phenomenon. Women were in greater agreement and more optimistic than men about current government policies to cope with climate change. Perceptions differed between sub-districts, reflecting NTB's climatic diversity. We note that although climate change is an issue of concern among NTB stakeholders, the potential privileging of some knowledge cultures may lead to its association with cultural and political elitism. Second, climate change needs to be viewed alongside the myriad other challenges facing NTB, some of which have greater perceived immediacy. This analysis highlights the need for planning that can accommodate and integrate the diverse knowledge cultures and adaptation objectives that exist at multiple levels. (C) 2015 The Authors. Published by Elsevier B.V.",,,,354.0
354,Online participation in climate change adaptation: A case study of agricultural adaptation measures in Northern Italy,,2015-01-01,"The new EU strategy on adaptation to climate change suggests flexible and participatory approaches. Face-to-face contact, although it involves time-consuming procedures with a limited audience, has often been considered the most effective participatory approach. In recent years, however, there has been an increase in the visibility of different citizens' initiatives in the online world, which strengthens the possibility of greater citizen agency. This paper investigates whether the Internet can ensure efficient public participation with meaningful engagement in climate change adaptation. In elucidating issues regarding climate change adaptation, we developed an eParticipation framework to explore adaptation capacity of agriculture to climate change in Northern Italy. Farmers were mobilised using a pre-existing online network. First they took part in an online questionnaire for revealing their perceptions of and reactions to the impacts of ongoing changes in agriculture. We used these results to suggest a portfolio of policy measures and to set evaluation criteria. Farmers then evaluated these policy options, using a multi criteria analysis tool with a simple user-friendly interface. Our results showed that eParticipation is efficient; it supports a rapid data collection, while involving high number of participants. Moreover, we demonstrated that the digital divide is decreasingly an obstacle for using online spaces for public engagement. This research does not present eParticipation as a panacea. Rather, eParticipation was implemented with well-established participatory approaches to both validate the results and, consequently, communicate meaningful messages on local agricultural adaptation practices to regional decision-makers. Feedbacks from the regional decision-makers showed their interest in using eParticipation to improve communication with farmers in the future. We expect that, with further Internet proliferation, eParticipation may allow the inclusion of more representative samples, which would contribute to an informed and legitimate decision-making process. (C) 2015 Elsevier Ltd. All rights reserved.",,,,292.0
355,Planning adaptation based on local actors' knowledge and participation: a climate governance experiment,,2015-01-01,"Involving a wide-range of stakeholders at different moments in the planning of urban adaptation to climate change can help to overcome different barriers to adaptation, such as a lack of common perception, or control over options. This Article argues for an approach that involves a wide range of actors throughout the planning process in order to confront the challenges of urban adaptation to climate change. It builds on the results of a three-year participatory action research project to identify the catalysts with which local administrations can overcome the lack of data, the low level of engagement around the climate issue, and the cause-and-effect linkages of climate change impacts on the urban environment. Significant factors include territorial rootedness, leveraging actors' experience, interaction between actors, as well as the valuing of local actors as experts of territorial management rather than as novices with regard to climate change adaptation. In addition to contributing towards the engagement of a large number of stakeholders around adaptation issues, a planning process that involves representatives from various sectors and during several stages contributes to a greater understanding of these issues and their linkages. It follows that such a process will bring changes to urban practices by better articulating local concerns about climatic issues. Policy relevance Although participation is commonly advocated in policy responses to climate change, only few empirical studies have investigated the ways in which local actors' knowledge can be integrated into climate change adaptation planning processes. The article builds on the results of an action research project carried out in Quebec City, Canada, to address the relevance of involving a progressively broader range of actors as the adaptation process moves through its various phases. Given that a multitude of barriers to adaptation are at play at different times in a municipality, collaborations between local stakeholders emerge as a key factor. These collaborations provide greater insight into the linkages between climate change impacts and the urban environment and, in doing so, bring into question ordinary urban management and design practices.",,,,334.0
356,"""I don't get this climate stuff!' Making sense of climate change among the corporate middle class in Lagos",,2015-01-01,"Public engagement continues to be central to wider efforts to address climate change. This study contributes to public engagement debates by investigating engagement with climate change among an often overlooked group, the corporate middle class in Africa's second largest megacity, Lagos. Combining survey and interviews, I focus analysis on three aspects: awareness, knowledge and concern; role of scientific and social frames in shaping general attitude; and spatial attribution of causes and consequences. The study reveals a universal awareness and high concern about climate change among the respondents, although understanding and perceptions of climate change are significantly socially framed. Social situatedness, more than scientific facts, is the most important definer of overall engagement with climate change. This study thus underscores a nuanced constructionist stance, showing how corporate professionals' ways of knowing' climate change is underpinned by a certain co-production between scientific and socio-experiential frames. I highlight implications for research and public engagement with climate change.",,,,154.0
357,Predictors of public climate change awareness and risk perception around the world,,2015-01-01,"Climate change is a threat to human societies and natural ecosystems, yet public opinion research finds that public awareness and concern vary greatly. Here, using an unprecedented survey of 119 countries, we determine the relative influence of socio-demographic characteristics, geography, perceived well-being, and beliefs on public climate change awareness and risk perceptions at national scales. Worldwide, educational attainment is the single strongest predictor of climate change awareness. Understanding the anthropogenic cause of climate change is the strongest predictor of climate change risk perceptions, particularly in Latin America and Europe, whereas perception of local temperature change is the strongest predictor in many African and Asian countries. However, other key factors associated with public awareness and risk perceptions highlight the need to develop tailored climate communication strategies for individual nations. The results suggest that improving basic education, climate literacy, and public understanding of the local dimensions of climate change are vital to public engagement and support for climate action.",,,,157.0
358,Wildlife restoration: Mainstreaming translocations to keep common species common,,2015-01-01,"In most urban and agricultural landscapes, remnants of native vegetation are surrounded by an inhospitable matrix. Although vagile species come and go, many reptiles, amphibians and small mammals are effectively stranded and declining towards local extinction. In the same landscapes, other areas where these species are absent are improving in habitat quality, both through natural regeneration and active restoration efforts. So, for many species in many domesticated landscapes, there are too many individuals in some patches of decreasing quality and no individuals in patches of increasing quality. One solution to this situation is to move animals from those areas where there are plenty to suitable areas where there are none. These targeted translocations apply lessons learned from revegetation to dispersal-limited animals to in-fill distributional ranges, increase population size and improve both demographic and genetic connectivity, pushing nonequilibrial metapopulations away from extinction via an imposed mass effect. In contrast to conventional reintroduction schemes expensive, reactive interventions involving highly-trained specialists and captive-raised endangered species these inexpensive, proactive, community-driven initiatives aim to avert future declines by keeping common species common. Having introduced the wildlife restoration vision, we use two scenarios to illustrate the benefits of the approach to species, ecosystem function, ecological understanding, restoration practise and public engagement. As well as adhering to best-practise reintroduction techniques to ensure animal welfare is not compromised and avoid detrimental effects to source populations or release sites, we emphasize community participation, data quality and long-term accessibility as paramount to maximize learning opportunities. (C) 2015 Elsevier Ltd. All rights reserved.",,,,252.0
359,Climate change in the oceans: Human impacts and responses,,2015-01-01,"Although it has far-reaching consequences for humanity, attention to climate change impacts on the ocean lags behind concern for impacts on the atmosphere and land. Understanding these impacts, as well as society's diverse perspectives and multiscale responses to the changing oceans, requires a correspondingly diverse body of scholarship in the physical, biological, and social sciences and humanities. This can ensure that a plurality of values and viewpoints is reflected in the research that informs climate policy and may enable the concerns of maritime societies and economic sectors to be heard in key adaptation and mitigation discussions.",,,,96.0
360,"Flood Risk Management as a public or a private good, and the implications for stakeholder engagement",,2016-01-01,"A move to encourage partnership funding of Flood Risk Management (FRM) has resulted in current FRM measures providing both public and private benefits. Yet, the scales of service delivery associated with public and private goods are likely to influence the form and extent of public participation in FRM. We assess the range,of goods provided by FRM, whether these services are considered to be public in nature by authorities and citizens, and the impact this has upon the level and form of public engagement in FRM. We separate the definitions of public goods into 'pure' public goods which demonstrate characteristics of non-rivalry and non-excludability, and public priority goods which are services deemed as essential to public wellbeing regardless of characteristics. We find that English FRM delivers a range of public goods beyond that of reduced water flows, and that when FRM is considered a 'pure' public good the emergent form of public participation does not increase public awareness of flood risk or encourage investment in private protection measures. When the benefits of FRM are solely considered public priority goods public awareness of flood risk increases, yet disputes arise regarding service provision and maintenance. Importantly, increased flood risk from climate change or increased runoff could lead to the capacity of the public good provision being exceeded, leading to problems of distribution of that service, and reactionary pressure group formation. We argue that the current preference for public goods which reduce individual costs at the expense of public awareness can discourage adaptation, which may be problematic in ensuring sustainable FRM. (C) 2015 Elsevier Ltd. All rights reserved.",,,,264.0
361,"Sustainable Development, Climate Change Adaptation and Disaster Management",,2016-01-01,"Climate change necessitates changes to the methods and procedures of disaster management. A triggering event results in disaster due to the severity of impacts and sequential, secondary consequences. These consequences result from factors such as the biophysical, social, political, economic, and structural context of the community experiencing the event. Climate change adds an additional progressive factor that increases the potential severity and frequency of triggering events and the vulnerability of communities experiencing the impact. Projecting future climate change impacts is imperfect, with a high degree of uncertainty. This uncertainty combined with the self-organizing, emergent properties that characterize urban systems, demands evaluation of the question, what qualifies as recovery? The manner in which policy is formulated must be adjusted to accommodate the dynamic contexts that may be subject to disaster triggering events. To address this need, disaster management must make adaptive capacity one of its primary goals. This is achieved through a process that combines risk assessment, comprehensive vulnerability assessment, iterative policy development and implementation, and ongoing public engagement. One of the critical aspects to long-term disaster recovery in the context of climate change is consideration of both local and regional contexts. Future adaptive capacity is closely tied with regional sustainability. This connection to sustainability is due to the fact that progressive climate change may further stress systems already being pushed by human development such as water and air pollution, habitat loss, and other degraded ecosystem services. Disaster events can result in the breaking of already stressed system connections. This confluence of events must be considered as part of disaster management. Further, ongoing monitoring of these systems and clear acknowledgement of their role in the ongoing functioning and vitality of a city is critical. Without continuous monitoring and iterative update of management procedures and local policy, communities will not be adequately prepared for an uncertain future.",,,,305.0
362,Earthquake risk communication as dialogue - insights from a workshop in Istanbul's urban renewal neighbourhoods,,2016-01-01,"An important paradox of hazard communication is that the more effectively a potential physical threat is made public by the scientist, the more readily the scientific message becomes normalized into the daily discourses of ordinary life. As a result, a heightened risk awareness does not necessarily motivate personal or collective preparedness. If geoscientists are to help at-risk communities adopt meaningful measures to protect themselves, new strategies are needed for public communication and community engagement. This paper outlines an attempt to develop a novel approach to train geoscientists, using doctoral and post-doctoral researchers in an EU integrated training network studying tectonic processes and geohazards in Turkey. An urban field visit to seismically vulnerable neighbourhoods in Istanbul allowed the researchers to meet with local residents facing the seismic threat. Those meetings exposed the complex social, political and cultural concerns among Istanbul's at-risk urban communities. These concerns were used to provoke subsequent focus group discussions among the group of geoscientists about roles, responsibilities and methods of communicating hazard information to the public. Through the direct testimony of local residents and geoscientists, we explore the form that new strategies for public communication and community engagement might take.",,,,193.0
363,Achievable future conditions as a framework for guiding forest conservation and management,,2016-01-01,"We contend that traditional approaches to forest conservation and management will be inadequate given the predicted scale of social-economic and biophysical changes in the 21st century. New approaches, focused on anticipating and guiding ecological responses to change, are urgently needed to ensure the full value of forest ecosystem services for future generations. These approaches acknowledge that change is inevitable and sometimes irreversible, and that maintenance of ecosystem services depends in part on novel ecosystems, i.e., species combinations with no analog in the past. We propose that ecological responses be evaluated at landscape or regional scales using risk-based approaches to incorporate uncertainty into forest management efforts with subsequent goals for management based on Achievable Future Conditions (AFC). AFCs defined at a landscape or regional scale incorporate advancements in ecosystem management, including adaptive approaches, resilience, and desired future conditions into the context of the Anthropocene. Inherently forward looking, ACFs encompass mitigation and adaptation options to respond to scenarios of projected future biophysical, social-economic, and policy conditions which distribute risk and provide diversity of response to uncertainty. The engagement of science-management-public partnerships is critical to our risk-based approach for defining AFCs. Robust monitoring programs of forest management actions are also crucial to address uncertainty regarding species distributions and ecosystem processes. Development of regional indicators of response will also be essential to evaluate outcomes of management strategies. Our conceptual framework provides a starting point to move toward AFCs for forest management, illustrated with examples from fire and water management in the Southeastern United States. Our model is adaptive, incorporating evaluation and modification as new information becomes available and as social-ecological dynamics change. It expands on established principles of ecosystem management and best management practices (BMPs) and incorporates scenarios of future conditions. It also highlights the potential limits of existing institutional structures for defining AFCs and achieving them. In an uncertain future of rapid change and abrupt, unforeseen transitions, adjustments in management approaches will be necessary and some actions will fail. However, it is increasingly evident that the greatest risk is posed by continuing to implement strategies inconsistent with current understanding of our novel future. (C) 2015 Elsevier B.V. All rights reserved.",,,,357.0
364,Outdoor Water Use as an Adaptation Problem: Insights from North American Cities,,2016-01-01,"Recent efforts to influence the efficiency and timing of urban indoor water use through education, technology, conservation, reuse, economic incentives, and regulatory mechanisms have enabled many North American cities to accommodate population growth and buffer impacts of drought. It is unlikely that this approach will be equally successful into the future because the source of conservation will shift from indoor to outdoor use. Outdoor water is climate sensitive, difficult to measure, hard to predict, linked to other components of complex and dynamic urban resource systems, imbued with behavioral and cultural dimensions, and implicated in societal conflicts about climate risk, modern lifestyles, social justice, and future growth. Outdoor water conservation is not a traditional management problem focused on the water sector, assuming a stationary climate, and set aside from public debate. Instead, outdoor water is an adaptation problem, involving complex and uncertain system dynamics, the need for cross-sector coordination, strategies for dealing with climatic uncertainty, and mechanisms for engaging stakeholders with differing goals. This paper makes the case for treating outdoor water as an adaptation problem and offers a six-point strategy for how cities can better prepare their water systems for the uncertainties of climate and societal change.",,,,197.0
365,Private finance for adaptation: do private realities meet public ambitions?,,2016-01-01,"The private sector's role in climate finance is increasingly subject to political and scientific debate. Yet there is poor empirical evidence of private engagement in adaptation and its potential contribution to the industrialised countries' mobilisation of USD 100 billion of annual climate finance from 2020 onwards to support developing countries to address climate change. This paper analysed 101 case studies of private sector adaptation under the Private Sector Initiative (PSI) of the UNFCCC Nairobi work programme, and examined these against ten 'adaptation finance criteria' that were distilled from UN climate negotiation outcomes. Results show that private adaptation interventions complement public adaptation activities. Yet the ten adaptation finance criteria are not met, which demonstrates that the diplomatic UNFCCC conceptualisation of financing adaptation is dissonant from the private sector reality. For example, while the case studies' investments are 'new and additional' to Official Development Assistance (ODA), their 'predictability' remains unclear. And despite some commitment for 'up-scaling', plans and associated costs for doing so remain undisclosed. Developed countries' role in 'mobilising' private financial resources under the PSI seems limited. It is unrealistic to expect that the UNFCCC alters existing criteria to suit private initiatives, or that the private sector aligns its initiatives to meet existing criteria. This paper advocates monitoring and reporting only of those private investments that principally finance adaptation. This practical way forward would allow private finance to meet criteria such as predictability, transparency, and mobilisation, but would drastically reduce the amount of private investment that could contribute to reaching the USD 100 billion climate finance target.",,,,256.0
366,"Here and now, there and then: How ""departure dates"" influence climate change engagement",,2016-01-01,"Climate change alters landscapes, challenges economic systems, and threatens human and environmental health. Yet, despite real and present impacts, climate change remains largely an abstract risk to most people in the U.S. Using a survey with an embedded experiment, we explore responses to messages about climate ""departure dates"" by manipulating the spatial and temporal dimensions of future climate change impacts in two exemplar cities (New York City and Singapore) among U.S: and Singapore participants. Overall, results suggest that the influence of temporal and spatial features of departure dates is moderated by participants' political orientation and geographic location. For instance, we observed some of the largest effects of our manipulation on the reported policy support of conservatives in the U.S. as compared to U.S. liberals and their counterparts in Singapore. We draw connections to relevant theory (e.g., construal level theory) and consider implications for climate departure dates as communication devices. (C) 2016 Elsevier Ltd. All rights reserved.",,,,156.0
